Year,Country,"Fertility rate, total (births per woman)",GDP per capita (current US$),"Inflation, consumer prices (annual %)",Urban population (% of total population),Population growth (annual %),Net migration,"Unemployment, total (% of total labor force) (national estimate)","Secondary education, pupils",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$)
2009,Bosnia and Herzegovina,1.3,4542.3117,-0.3815,45.239,-1.67862,-68227,24.07,334355,279,127
2010,Bosnia and Herzegovina,1.28,4506.9324,1.9962,45.558,-1.73404,-67267,27.31,322766,276,124
2011,Bosnia and Herzegovina,1.22,4980.9047,3.6713,45.878,-1.79893,-64918,27.58,316241,309,136
2012,Bosnia and Herzegovina,1.29,4688.3458,2.0527,46.199,-1.85426,-66436,28.01,313321,305,131
2013,Bosnia and Herzegovina,1.28,5025.2418,..,46.519,-1.55833,-37030,27.49,309015,331,139
2014,Bosnia and Herzegovina,1.26,5196.9701,..,46.84,-1.29348,-35709,27.52,297460,346,144
2015,Bosnia and Herzegovina,1.29,4654.6086,..,47.173,-1.31761,-33976,27.7,278071,298,125
2016,Bosnia and Herzegovina,1.32,4917.2638,..,47.518,-1.23731,-32195,25.41,263010,319,130
2017,Bosnia and Herzegovina,1.36,5327.3923,..,47.876,-1.18363,-30669,20.53,253070,329,139
2018,Bosnia and Herzegovina,1.38,6024.4931,..,48.245,-1.16659,-29154,18.4,247714,369,157
2019,Bosnia and Herzegovina,1.37,6094.7248,..,48.626,-1.16608,-27848,15.69,240189,374,162
2020,Bosnia and Herzegovina,1.36,6095.1042,..,49.02,-1.26677,-26857,15.87,234497,412,172
2021,Bosnia and Herzegovina,1.35,7237.2745,..,49.425,-1.44065,-25865,14.9,230773,472,215
2022,Bosnia and Herzegovina,1.35,7587.5882,..,49.841,-1.15051,-500,12.66,229186,476,223
2023,Bosnia and Herzegovina,1.38,8426.0911,..,50.269,-0.70384,-500,10.67,225691,488,241
