Year,Country,"Fertility rate, total (births per woman)",GDP per capita (current US$),"Inflation, consumer prices (annual %)",Urban population (% of total population),Population growth (annual %),Net migration,"Unemployment, total (% of total labor force) (national estimate)","Secondary education, pupils",Domestic general government health expenditure per capita (current US$),Domestic private health expenditure per capita (current US$)
2017,South Sudan,4.78,1325.2751,187.852,19.35,-3.7555,-672697,..,169742,2.27988,6.331
2018,South Sudan,4.7,1503.1339,83.502,19.62,-2.4975,-297041,..,188543,3.07751,9.531
2019,South Sudan,4.62,1653.0415,87.241,19.9,0.5022,2048,..,195412,3.90806,17.904
2020,South Sudan,4.54,1452.3325,29.676,20.2,1.5063,-74415,..,208545,3.6724,22.875
2021,South Sudan,4.47,1452.1466,10.517,20.51,1.3304,-31885,..,210543,5.18491,11.209
2022,South Sudan,4.34,1558.2214,-6.687,20.85,1.5225,-30694,..,221450,5.22548,11.6985
2023,South Sudan,5.09,1684.2251,2.383,21.2,1.5966,-23291,..,231120,5.89542,12.5521
1984,Burundi,7.3,203.8598,14.317,5.03,2.4197,-29572,..,21424,..,..
1985,Burundi,7.29,232.4118,3.804,5.22,2.1605,-66680,..,23984,..,..
1986,Burundi,7.32,238.3569,1.676,5.42,1.8756,-55836,..,25939,..,..
1987,Burundi,7.38,219.3713,7.113,5.62,2.276,-21213,..,29027,..,..
1988,Burundi,7.38,205.3179,4.487,5.83,2.1875,-46546,..,31045,..,..
1989,Burundi,7.39,207.292,11.662,6.05,1.9137,-43635,..,34899,..,..
1990,Burundi,7.37,206.4449,7.002,6.27,2.0281,-39996,0.48,38194,..,..
1991,Burundi,7.34,208.6567,8.997,6.46,2.0046,-39298,..,44207,..,..
1992,Burundi,7.3,188.5812,1.823,6.64,2.6154,35771,..,48398,..,..
1993,Burundi,7.27,168.9641,9.679,6.82,-3.3259,-686089,..,55713,..,..
1994,Burundi,7.23,165.5859,14.853,7.01,0.5599,516369,..,..,..,..
1995,Burundi,7.18,168.6272,19.263,7.21,6.0157,-84698,..,..,..,..
1996,Burundi,7.12,146.5362,26.437,7.41,-0.0384,-226350,..,..,..,..
1997,Burundi,7.04,164.2334,31.112,7.62,-0.1121,-84365,..,..,..,..
1998,Burundi,6.96,148.0895,12.500,7.83,1.8644,13841,..,..,..,..
1999,Burundi,6.9,130.753,3.385,8.04,2.3715,-34507,14,..,..,..
2000,Burundi,6.87,138.0046,24.432,8.25,2.0417,-40114,..,..,2.02163,3.744
2001,Burundi,6.85,135.6065,9.296,8.46,2.4751,9965,..,113427,2.29479,3.679
2002,Burundi,6.82,124.1393,-1.366,8.68,2.7941,-16881,..,122469,1.90594,3.476
2003,Burundi,6.79,114.367,10.648,8.91,3.1374,36721,..,129204,1.54958,3.183
2004,Burundi,6.75,128.5384,8.176,9.14,3.7147,47090,..,152251,3.04369,3.695
2005,Burundi,6.71,151.1885,13.252,9.38,3.6998,17913,..,171110,3.11823,4.694
2006,Burundi,6.66,166.2762,2.745,9.62,3.58,15322,3.19,192296,3.93079,6.015
2007,Burundi,6.59,170.7069,8.412,9.86,3.6718,22120,..,209945,4.20593,6.731
2008,Burundi,6.52,194.7106,24.407,10.12,4.1121,79323,1.63,254186,3.03581,6.755
2009,Burundi,6.41,204.5448,10.555,10.38,5.0784,184361,..,288956,4.24192,6.96
2010,Burundi,6.26,222.6606,6.493,10.64,4.6795,11847,..,337577,4.42046,7.383
2011,Burundi,6.11,236.4513,9.592,10.92,3.5427,-19517,..,381041,8.20741,6.491
2012,Burundi,5.99,238.2059,18.161,11.19,3.53,22613,..,420117,6.3588,5.1
2013,Burundi,5.89,241.5477,7.938,11.48,3.5511,-2295,..,490858,3.72196,4.757
2014,Burundi,5.79,257.8186,4.405,11.78,3.3459,-6856,1.57,583308,7.18488,6.197
2015,Burundi,5.7,289.3596,5.545,12.08,2.1887,-236447,..,664243,7.00207,6.105
2016,Burundi,5.59,242.5395,5.558,12.39,1.629,-109490,..,723357,6.06916,5.833
2017,Burundi,5.48,244.1454,16.053,12.71,2.2873,-68450,..,665116,5.7261,6.149
2018,Burundi,5.38,232.0606,-2.815,13.03,2.9838,68145,..,674855,5.43661,5.536
2019,Burundi,5.27,216.973,-0.687,13.37,3.2643,14241,..,650269,5.77146,5.402
2020,Burundi,5.18,216.8274,7.321,13.71,2.8671,-10186,1.03,741249,5.4531,6.299
2021,Burundi,5.08,221.1578,8.405,14.06,2.6725,-14415,..,745521,5.93988,6.991
2022,Burundi,4.98,259.025,18.801,14.42,2.6602,2000,..,749820,6.2251,7.2251
2023,Burundi,4.9,199.5808,26.942,14.78,2.6715,2000,..,754128,6.5582,7.33256
1984,Guinea,6.6,3410.0723,..,26.35,2.2428,-11449,..,97719,..,..
1985,Guinea,6.61,4119.494,..,26.62,2.3703,-6966,..,101121,..,..
1986,Guinea,6.64,512.9493,..,26.9,2.4944,-2905,..,92754,..,..
1987,Guinea,6.67,511.3949,..,27.18,2.6001,-357,..,82088,..,..
1988,Guinea,6.66,581.626,..,27.46,2.6515,-647,..,82451,..,..
1989,Guinea,6.66,577.8982,..,27.74,2.6252,-5149,..,81325,..,..
1990,Guinea,6.63,611.9345,..,28.03,3.4907,107641,..,78659,..,..
1991,Guinea,6.59,664.5035,..,28.31,4.0343,66718,..,85942,..,..
1992,Guinea,6.55,700.9783,..,28.6,3.2195,-3292,..,83125,..,..
1993,Guinea,6.49,678.5553,..,28.89,3.0828,45616,..,106811,..,..
1994,Guinea,6.41,679.2515,..,29.18,3.0197,-8824,..,116377,..,..
1995,Guinea,6.34,721.1374,..,29.48,2.8003,18021,..,124516,..,..
1996,Guinea,6.25,734.2391,..,29.77,2.8351,-4973,..,132722,..,..
1997,Guinea,6.16,703.4365,..,30.05,2.0572,-107718,..,..,..,..
1998,Guinea,6.08,654.6248,..,30.32,1.8913,-30939,..,..,..,..
1999,Guinea,6.01,617.3542,..,30.6,2.2559,-46248,..,167608,..,..
2000,Guinea,5.94,523.8666,..,30.87,1.9631,-77558,..,175521,1.45941,15.132
2001,Guinea,5.85,488.4757,..,31.14,1.296,-155276,..,235210,1.67226,14.068
2002,Guinea,5.79,501.4822,..,31.42,1.5517,-33495,4.55,276084,3.00165,15.038
2003,Guinea,5.74,572.848,..,31.7,2.2418,-36982,..,305717,2.2901,16.318
2004,Guinea,5.72,591.535,..,31.98,2.1292,-56110,..,344630,1.3515,18.704
2005,Guinea,5.7,468.5356,31.373,32.26,1.9787,-71104,..,420057,1.28824,14.077
2006,Guinea,5.66,452.2762,34.695,32.54,2.0629,-48145,..,482825,1.12327,11.701
2007,Guinea,5.62,657.9935,18.176,32.82,2.2934,-34349,..,500214,1.58352,16.547
2008,Guinea,5.56,712.0994,23.066,33.11,2.4082,-32957,..,530705,1.91971,16.687
2009,Guinea,5.51,670.2613,4.684,33.39,2.4398,-34050,..,..,1.74434,17.59
2010,Guinea,5.4,667.2816,15.050,33.68,2.4583,-31352,..,..,2.42209,16.009
2011,Guinea,5.3,644.5025,21.317,33.97,2.4713,-29092,..,640245,3.28936,14.809
2012,Guinea,5.2,707.9677,15.226,34.26,2.4488,-32842,..,657383,3.52155,15.196
2013,Guinea,5.12,757.6923,11.888,34.55,2.4423,-29151,..,690997,3.702,16.6
2014,Guinea,5.05,774.569,6.151,34.84,2.4829,-22750,..,715702,4.73667,25.489
2015,Guinea,5.02,756.4256,11.780,35.14,2.5493,-15127,..,667770,3.24742,30.385
2016,Guinea,4.93,720.4733,8.173,35.46,2.5895,-14196,..,701858,4.78648,23.534
2017,Guinea,4.79,843.4643,8.914,35.79,2.5635,-13726,..,720154,5.06637,24.821
2018,Guinea,4.67,944.4173,9.828,36.14,2.5334,-9195,..,740034,5.83084,25.665
2019,Guinea,4.58,1043.8999,9.470,36.5,2.5377,-3243,5.02,760990,9.61382,28.461
2020,Guinea,4.49,1073.6593,10.602,36.88,2.5123,-4364,..,763835,8.29267,28.205
2021,Guinea,4.4,1189.176,12.597,37.26,2.4443,-4367,..,750047,8.18704,26.376
2022,Guinea,4.3,1515.1679,10.493,37.67,2.3909,-4000,..,753322,8.22516,27.225
2023,Guinea,4.78,1663.9378,7.805,38.09,2.3621,-4000,..,753726,8.5214,27.698
